OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_174063,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174066,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,s_
OTU_174069,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174076,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174077,not assigned,not assigned,not assigned,not assigned,not assigned,g_,s_
OTU_174079,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174081,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174086,Eukaryota,p_,c_,o_,f_,g_,s_
OTU_174108,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Scolecitrichidae,Scolecithrix,Scolecithrix danae
OTU_174134,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174145,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174167,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174169,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174172,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174185,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174190,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174194,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174196,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174203,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174204,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174220,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174247,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174255,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174278,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,s_
OTU_174279,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,s_
OTU_174282,Eukaryota,p_,c_,o_,f_,g_,s_
OTU_174285,Eukaryota,p_,c_,o_,f_,g_,s_
OTU_174302,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,g_,s_
OTU_174309,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174312,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174327,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174329,not assigned,not assigned,not assigned,not assigned,not assigned,g_,s_
OTU_174332,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174335,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174339,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174372,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174485,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174608,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174620,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174644,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174648,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174652,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174677,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174679,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174697,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174712,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,s_
OTU_174713,Eukaryota,p_,c_,o_,f_,g_,s_
OTU_174720,Eukaryota,Arthropoda,Hexanauplia,Calanoida,f_,g_,s_
OTU_174741,Eukaryota,Arthropoda,Hexanauplia,Calanoida,f_,g_,s_
OTU_174749,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174750,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174757,Eukaryota,p_,c_,o_,f_,g_,s_
OTU_174767,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174781,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,s_
OTU_174782,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174784,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174788,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174802,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174806,Eukaryota,Arthropoda,Hexanauplia,Calanoida,f_,g_,s_
OTU_174811,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174818,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,s_
OTU_174826,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174836,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174840,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174859,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174860,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174879,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174880,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174887,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174888,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174892,Eukaryota,Arthropoda,Hexanauplia,Calanoida,f_,g_,s_
OTU_174900,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174902,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_174909,Eukaryota,Arthropoda,Hexanauplia,Calanoida,f_,g_,s_
OTU_174911,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
