#OTU_ID	taxonomy
OTU_89233	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_119969	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_167859	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_186163	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_186167	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_186367	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_186405	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_202102	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_348166	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_348169	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_348222	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
OTU_348275	k__Eukaryota, p__Arthropoda, c__Malacostraca, o__Decapoda, f__Portunidae,g__,s__
