#DUP_ID	UC1_COI	UC2_COI	UC3_COI	UC4_COI	UC5_COI	UC6_COI	UC7_COI	UC9_COI	UC10_COI	UC12_COI	UC13_COI	UC14_COI	UC15_COI	GOC2a_COI	GOC2b_COI	CP23_COI	UC3_2_COI	CP23_2_COI	UC3_1_COI	CP23_1_COI	NTC_2_COI	taxonomy
OTU_102	0	0	0	398	1	92	0	0	1452	1098	842	1015	410	245	27	692	0	22	0	683	0	k__Eukaryota; p__Chaetognatha; c__Sagittoidea; o__Aphragmophora;f__;g__;s__
OTU_106	0	0	0	0	0	0	0	0	392	0	0	5478	1146	0	0	925	0	174	0	838	0	k__Eukaryota; p__Chordata; c__Actinopteri; o__Myctophiformes; f__Myctophidae; g__Diogenichthys; s__Diogenichthys laternatus
OTU_109	0	0	0	0	0	0	0	1	0	0	140	10	213	786	2161	2269	0	1025	0	1934	0	k__Eukaryota; p__Arthropoda; c__Malacostraca; o__Euphausiacea; f__Euphausiidae; g__Euphausia; s__Euphausia distinguenda
OTU_110	0	2	1	12	44	39	228	19	49	79	41	2024	128	127	6	1609	0	184	0	1759	0	k__Eukaryota; p__unknown; c__Dinophyceae; o__Syndiniales; f__Syndiniaceae; g__Hematodinium;s__
OTU_116	0	0	0	0	1717	27	367	38	3187	286	2070	731	2	0	0	0	1	0	0	0	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Clausocalanidae; g__Clausocalanus; s__Clausocalanus brevipes
OTU_117	59	12	124	52	8630	8	2580	1	526	1	0	0	6	0	1	0	1	0	46	0	0	k__Eukaryota; p__Arthropoda; c__Malacostraca; o__Euphausiacea; f__Euphausiidae; g__Nematoscelis; s__Nematoscelis difficilis
OTU_118	0	50	423	1	0	39	4	782	1661	718	1504	3009	609	84	24	215	23	51	155	292	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Clausocalanidae; g__Clausocalanus; s__Clausocalanus jobei
OTU_119	1	0	0	0	12	13	548	0	3248	767	2370	1	0	0	0	0	0	0	0	0	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Clausocalanidae; g__Clausocalanus; s__Clausocalanus brevipes
OTU_120	51	14	52	5	4034	3	860	4	243	0	0	0	2	0	0	0	5	0	6	0	0	k__Eukaryota; p__Arthropoda; c__Malacostraca; o__Euphausiacea; f__Euphausiidae; g__Nematoscelis; s__Nematoscelis difficilis
OTU_124	81	98	2206	3	804	18	310	296	11	20	6	5	6	0	0	0	182	0	891	0	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Clausocalanidae; g__Clausocalanus; s__Clausocalanus parapergens
OTU_125	634	761	1757	4	406	4	138	33	0	0	0	0	0	0	0	0	576	0	757	0	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Metridinidae; g__Metridia; s__Metridia lucens
OTU_126	303	603	431	514	63	920	752	376	16	37	0	3	22	0	0	0	1415	1	170	0	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Calanidae; g__Calanus; s__Calanus pacificus
OTU_127	0	932	0	0	0	0	0	4703	0	1	0	0	0	0	0	0	0	0	0	0	0	k__Eukaryota; p__Chordata; c__Thaliacea; o__Salpida; f__Salpidae; g__Thalia;s__
