DUP_17539;size=60	
DUP_17593;size=23	
DUP_17597;size=21	
DUP_17835;size=21	
DUP_17836;size=27	
DUP_17844;size=19	
DUP_17845;size=19	
DUP_17848;size=28	
DUP_18395;size=51	
DUP_18467;size=36	
DUP_18470;size=18	
DUP_18471;size=20	
DUP_18474;size=26	
DUP_18475;size=20	
DUP_18476;size=80	
DUP_18481;size=41	
DUP_18548;size=24	
DUP_18819;size=18	
DUP_18821;size=22	
DUP_18834;size=85	
DUP_18844;size=33	
DUP_18847;size=18	
DUP_18849;size=23	
DUP_18850;size=94	
DUP_18853;size=28	
DUP_18856;size=18	
DUP_18857;size=24	
DUP_18858;size=30	
DUP_18864;size=73	
DUP_18920;size=23	
DUP_19481;size=57	
DUP_19567;size=68	
DUP_19568;size=17	
DUP_19570;size=31	
DUP_19571;size=17	
DUP_19572;size=17	
DUP_19573;size=19	
DUP_19576;size=17	
DUP_19577;size=61	
DUP_19581;size=21	
DUP_19583;size=41	
DUP_19588;size=17	
DUP_19589;size=23	
DUP_19591;size=90	
DUP_19650;size=19	
DUP_19654;size=17	
DUP_19747;size=21	
DUP_19751;size=36	
DUP_19830;size=17	
DUP_19911;size=21	
DUP_19913;size=33	
DUP_19914;size=22	
DUP_19928;size=17	
DUP_19929;size=42	
DUP_19933;size=29	
DUP_19935;size=39	
DUP_19936;size=27	
DUP_19937;size=23	
DUP_19939;size=17	
DUP_19941;size=35	
DUP_19948;size=17	
DUP_19951;size=19	
DUP_19952;size=21	
DUP_20100;size=27	
DUP_20145;size=20	
DUP_20669;size=22	
DUP_20679;size=38	
DUP_20680;size=17	
DUP_20681;size=17	
DUP_20792;size=17	
DUP_20796;size=25	
DUP_20804;size=16	
DUP_20805;size=31	
DUP_20806;size=48	
DUP_20809;size=16	
DUP_20810;size=16	
DUP_20812;size=43	
DUP_20813;size=18	
DUP_20814;size=22	
DUP_20815;size=29	
DUP_20816;size=20	
DUP_20817;size=30	
DUP_20818;size=34	
DUP_20819;size=28	
DUP_20821;size=21	
DUP_20899;size=16	
DUP_20902;size=20	
DUP_20909;size=21	
DUP_21172;size=18	
DUP_21192;size=30	
DUP_21193;size=18	
DUP_21261;size=52	
DUP_21270;size=18	
DUP_21271;size=16	
DUP_21272;size=53	
DUP_21273;size=44	
DUP_21279;size=16	
DUP_21282;size=16	
DUP_21284;size=22	
DUP_21291;size=16	
DUP_21293;size=29	
DUP_21294;size=20	
DUP_21308;size=18	
DUP_21313;size=18	
DUP_21314;size=16	
DUP_22132;size=16	
DUP_22225;size=18	
DUP_22242;size=16	
DUP_22258;size=31	
DUP_22259;size=15	
DUP_22260;size=21	
DUP_22262;size=15	
DUP_22263;size=34	
DUP_22264;size=15	
DUP_22265;size=15	
DUP_22269;size=15	
DUP_22274;size=33	
DUP_22663;size=17	
DUP_22806;size=34	
DUP_22807;size=33	
DUP_22810;size=48	
DUP_22812;size=17	
DUP_22820;size=34	
DUP_22835;size=20	
DUP_22836;size=15	
DUP_22839;size=21	
DUP_22840;size=26	
DUP_22846;size=25	
DUP_22847;size=32	
DUP_22850;size=18	
DUP_22861;size=17	
DUP_22865;size=15	
DUP_22870;size=49	
DUP_22899;size=17	
DUP_23850;size=35	
DUP_23884;size=19	
DUP_23886;size=17	
DUP_23895;size=15	
DUP_24026;size=154	
DUP_24041;size=15	
DUP_24044;size=64	
DUP_24046;size=20	
DUP_24047;size=16	
DUP_24049;size=16	
DUP_24051;size=47	
DUP_24052;size=16	
DUP_24053;size=20	
DUP_24054;size=16	
DUP_24056;size=84	
DUP_24058;size=14	
DUP_24059;size=14	
DUP_24060;size=14	
DUP_24061;size=14	
DUP_24063;size=24	
DUP_24068;size=17	
DUP_24069;size=17	
DUP_24071;size=14	
DUP_24525;size=16	
DUP_24593;size=14	
DUP_24594;size=19	
DUP_24608;size=24	
DUP_24621;size=29	
DUP_24629;size=22	
DUP_24630;size=21	
DUP_24631;size=14	
DUP_24632;size=45	
DUP_24633;size=29	
DUP_24634;size=16	
DUP_24635;size=14	
DUP_24636;size=14	
DUP_24637;size=14	
DUP_24638;size=18	
DUP_24644;size=28	
DUP_24645;size=25	
DUP_24646;size=14	
DUP_24652;size=26	
DUP_24653;size=22	
DUP_24663;size=87	
DUP_24669;size=16	
DUP_24673;size=33	
DUP_24679;size=14	
DUP_24852;size=20	
DUP_25722;size=19	
DUP_25727;size=14	
DUP_25736;size=17	
DUP_25839;size=16	
DUP_25869;size=28	
DUP_25870;size=18	
DUP_25875;size=30	
DUP_25891;size=31	
DUP_25895;size=19	
DUP_25900;size=21	
DUP_25901;size=37	
DUP_25902;size=56	
DUP_25905;size=13	
DUP_25906;size=13	
DUP_25907;size=15	
DUP_25908;size=13	
DUP_25909;size=25	
DUP_25910;size=36	
DUP_25911;size=15	
DUP_25912;size=13	
DUP_25913;size=21	
DUP_25914;size=20	
DUP_25915;size=25	
DUP_25916;size=30	
DUP_25917;size=13	
DUP_25922;size=52	
DUP_25923;size=18	
DUP_25924;size=31	
DUP_25925;size=19	
DUP_25928;size=60	
DUP_25930;size=13	
DUP_25931;size=18	
DUP_25932;size=13	
DUP_25937;size=25	
DUP_25939;size=13	
DUP_26075;size=15	
DUP_26136;size=15	
DUP_26176;size=17	
DUP_26475;size=13	
DUP_26580;size=15	
DUP_26581;size=26	
DUP_26583;size=13	
DUP_26586;size=13	
DUP_26591;size=15	
DUP_26596;size=53	
DUP_26598;size=16	
DUP_26600;size=13	
DUP_26614;size=41	
DUP_26616;size=28	
DUP_26623;size=37	
DUP_26624;size=27	
DUP_26627;size=13	
DUP_26628;size=13	
DUP_26629;size=41	
DUP_26630;size=18	
DUP_26631;size=13	
DUP_26632;size=28	
DUP_26637;size=20	
DUP_26638;size=41	
DUP_26639;size=13	
DUP_26644;size=15	
DUP_26645;size=13	
DUP_26646;size=17	
DUP_26648;size=18	
DUP_26649;size=13	
DUP_26650;size=15	
DUP_26661;size=13	
DUP_26664;size=31	
DUP_27994;size=13	
DUP_27997;size=15	
DUP_28070;size=15	
DUP_28183;size=15	
DUP_28188;size=24	
DUP_28208;size=25	
DUP_28209;size=21	
DUP_28210;size=12	
DUP_28211;size=17	
DUP_28212;size=12	
DUP_28213;size=17	
DUP_28214;size=12	
DUP_28215;size=33	
DUP_28216;size=12	
DUP_28217;size=16	
DUP_28218;size=12	
DUP_28219;size=56	
DUP_28220;size=12	
DUP_28221;size=12	
DUP_28222;size=14	
DUP_28223;size=12	
DUP_28224;size=14	
DUP_28225;size=12	
DUP_28228;size=12	
DUP_28229;size=12	
DUP_28232;size=14	
DUP_28233;size=12	
DUP_28234;size=12	
DUP_28235;size=18	
DUP_28240;size=12	
DUP_28241;size=12	
DUP_28245;size=12	
DUP_28248;size=20	
DUP_28249;size=18	
DUP_28250;size=12	
DUP_28251;size=12	
DUP_28253;size=12	
DUP_28255;size=28	
DUP_28256;size=12	
DUP_28279;size=16	
DUP_29023;size=41	
DUP_29024;size=38	
DUP_29025;size=12	
DUP_29030;size=14	
DUP_29033;size=35	
DUP_29034;size=12	
DUP_29038;size=12	
DUP_29039;size=12	
DUP_29042;size=14	
DUP_29043;size=14	
DUP_29046;size=18	
DUP_29049;size=23	
DUP_29053;size=25	
DUP_29081;size=12	
DUP_29083;size=28	
DUP_29085;size=12	
DUP_29086;size=12	
DUP_29087;size=18	
DUP_29088;size=12	
DUP_29089;size=12	
DUP_29090;size=39	
DUP_29092;size=12	
DUP_29093;size=12	
DUP_29094;size=23	
DUP_29095;size=21	
DUP_29096;size=20	
DUP_29097;size=12	
DUP_29098;size=12	
DUP_29106;size=20	
DUP_29107;size=12	
DUP_29108;size=12	
DUP_29109;size=12	
DUP_29111;size=12	
DUP_29115;size=19	
DUP_29116;size=25	
DUP_29117;size=12	
DUP_29119;size=16	
DUP_29127;size=12	
DUP_29129;size=12	
